nnz,mat_size,std_row,N,CUDA_cores,bandwidth,L2_cache,tag
1483868,12314562841,2.915061,4,2944,448,4096,0
1483868,12314562841,2.915061,8,2944,448,4096,0
1483868,12314562841,2.915061,16,2944,448,4096,0
1483868,12314562841,2.915061,32,2944,448,4096,0
1483868,12314562841,2.915061,64,2944,448,4096,0
1483868,12314562841,2.915061,128,2944,448,4096,0
355034,6402560256,49.984973,1,2944,448,4096,1
355034,6402560256,49.984973,2,2944,448,4096,3
355034,6402560256,49.984973,4,2944,448,4096,3
355034,6402560256,49.984973,8,2944,448,4096,3
355034,6402560256,49.984973,16,2944,448,4096,2
355034,6402560256,49.984973,32,2944,448,4096,2
355034,6402560256,49.984973,64,2944,448,4096,2
355034,6402560256,49.984973,128,2944,448,4096,2
347222,6402560256,47.730632,1,2944,448,4096,1
347222,6402560256,47.730632,2,2944,448,4096,3
347222,6402560256,47.730632,4,2944,448,4096,3
347222,6402560256,47.730632,8,2944,448,4096,3
347222,6402560256,47.730632,16,2944,448,4096,2
347222,6402560256,47.730632,32,2944,448,4096,2
347222,6402560256,47.730632,64,2944,448,4096,2
347222,6402560256,47.730632,128,2944,448,4096,2
255004,3600960064,53.972692,1,2944,448,4096,5
255004,3600960064,53.972692,2,2944,448,4096,3
255004,3600960064,53.972692,4,2944,448,4096,3
255004,3600960064,53.972692,8,2944,448,4096,2
255004,3600960064,53.972692,16,2944,448,4096,2
255004,3600960064,53.972692,32,2944,448,4096,2
255004,3600960064,53.972692,64,2944,448,4096,2
255004,3600960064,53.972692,128,2944,448,4096,2
218484,548121744,1.308662,1,2944,448,4096,1
218484,548121744,1.308662,2,2944,448,4096,0
218484,548121744,1.308662,4,2944,448,4096,0
218484,548121744,1.308662,8,2944,448,4096,0
218484,548121744,1.308662,16,2944,448,4096,0
218484,548121744,1.308662,32,2944,448,4096,0
218484,548121744,1.308662,64,2944,448,4096,0
218484,548121744,1.308662,128,2944,448,4096,0
218484,548121744,1.308458,1,2944,448,4096,1
218484,548121744,1.308458,2,2944,448,4096,0
218484,548121744,1.308458,4,2944,448,4096,0
218484,548121744,1.308458,8,2944,448,4096,0
218484,548121744,1.308458,16,2944,448,4096,0
218484,548121744,1.308458,32,2944,448,4096,0
218484,548121744,1.308458,64,2944,448,4096,0
218484,548121744,1.308458,128,2944,448,4096,0
218484,548121744,1.308458,1,2944,448,4096,5
218484,548121744,1.308458,2,2944,448,4096,0
218484,548121744,1.308458,4,2944,448,4096,0
218484,548121744,1.308458,8,2944,448,4096,0
218484,548121744,1.308458,16,2944,448,4096,0
218484,548121744,1.308458,32,2944,448,4096,0
218484,548121744,1.308458,64,2944,448,4096,0
218484,548121744,1.308458,128,2944,448,4096,0
218484,548121744,1.308458,1,2944,448,4096,5
218484,548121744,1.308458,2,2944,448,4096,0
218484,548121744,1.308458,4,2944,448,4096,0
218484,548121744,1.308458,8,2944,448,4096,0
218484,548121744,1.308458,16,2944,448,4096,0
218484,548121744,1.308458,32,2944,448,4096,0
218484,548121744,1.308458,64,2944,448,4096,0
218484,548121744,1.308458,128,2944,448,4096,0
9027150,2.54E+11,17.422495,1,2944,448,4096,5
9027150,2.54E+11,17.422495,2,2944,448,4096,3
9027150,2.54E+11,17.422495,4,2944,448,4096,0
9027150,2.54E+11,17.422495,8,2944,448,4096,0
9027150,2.54E+11,17.422495,16,2944,448,4096,0
9027150,2.54E+11,17.422495,32,2944,448,4096,0
9027150,2.54E+11,17.422495,64,2944,448,4096,0
9027150,2.54E+11,17.422495,128,2944,448,4096,0
9027150,2.54E+11,17.422495,1,2944,448,4096,1
9027150,2.54E+11,17.422495,2,2944,448,4096,3
9027150,2.54E+11,17.422495,4,2944,448,4096,0
9027150,2.54E+11,17.422495,8,2944,448,4096,0
9027150,2.54E+11,17.422495,16,2944,448,4096,0
9027150,2.54E+11,17.422495,32,2944,448,4096,0
9027150,2.54E+11,17.422495,64,2944,448,4096,0
9027150,2.54E+11,17.422495,128,2944,448,4096,0
9027150,2.54E+11,17.422495,1,2944,448,4096,5
9027150,2.54E+11,17.422495,2,2944,448,4096,3
9027150,2.54E+11,17.422495,4,2944,448,4096,0
9027150,2.54E+11,17.422495,8,2944,448,4096,0
9027150,2.54E+11,17.422495,16,2944,448,4096,0
9027150,2.54E+11,17.422495,32,2944,448,4096,0
9027150,2.54E+11,17.422495,64,2944,448,4096,0
9027150,2.54E+11,17.422495,128,2944,448,4096,0
9027150,2.54E+11,17.422495,1,2944,448,4096,5
9027150,2.54E+11,17.422495,2,2944,448,4096,3
9027150,2.54E+11,17.422495,4,2944,448,4096,0
9027150,2.54E+11,17.422495,8,2944,448,4096,0
9027150,2.54E+11,17.422495,16,2944,448,4096,0
9027150,2.54E+11,17.422495,32,2944,448,4096,0
9027150,2.54E+11,17.422495,64,2944,448,4096,0
9027150,2.54E+11,17.422495,128,2944,448,4096,0
9027150,2.54E+11,17.422495,1,2944,448,4096,5
9027150,2.54E+11,17.422495,2,2944,448,4096,3
9027150,2.54E+11,17.422495,4,2944,448,4096,0
9027150,2.54E+11,17.422495,8,2944,448,4096,0
9027150,2.54E+11,17.422495,16,2944,448,4096,0
9027150,2.54E+11,17.422495,32,2944,448,4096,0
9027150,2.54E+11,17.422495,64,2944,448,4096,0
9027150,2.54E+11,17.422495,128,2944,448,4096,0
9027150,2.54E+11,17.422495,1,2944,448,4096,5
9027150,2.54E+11,17.422495,2,2944,448,4096,3
9027150,2.54E+11,17.422495,4,2944,448,4096,0
9027150,2.54E+11,17.422495,8,2944,448,4096,0
9027150,2.54E+11,17.422495,16,2944,448,4096,0
9027150,2.54E+11,17.422495,32,2944,448,4096,0
9027150,2.54E+11,17.422495,64,2944,448,4096,0
9027150,2.54E+11,17.422495,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
27090195,2.27E+12,17.411537,1,2944,448,4096,1
27090195,2.27E+12,17.411537,2,2944,448,4096,3
27090195,2.27E+12,17.411537,4,2944,448,4096,0
27090195,2.27E+12,17.411537,8,2944,448,4096,0
27090195,2.27E+12,17.411537,16,2944,448,4096,0
27090195,2.27E+12,17.411537,32,2944,448,4096,0
27090195,2.27E+12,17.411537,64,2944,448,4096,0
27090195,2.27E+12,17.411537,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,1
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,5
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
9046865,2.55E+11,17.419523,1,2944,448,4096,1
9046865,2.55E+11,17.419523,2,2944,448,4096,3
9046865,2.55E+11,17.419523,4,2944,448,4096,0
9046865,2.55E+11,17.419523,8,2944,448,4096,0
9046865,2.55E+11,17.419523,16,2944,448,4096,0
9046865,2.55E+11,17.419523,32,2944,448,4096,0
9046865,2.55E+11,17.419523,64,2944,448,4096,0
9046865,2.55E+11,17.419523,128,2944,448,4096,0
484256,555073600,1.270751,1,2944,448,4096,5
484256,555073600,1.270751,2,2944,448,4096,0
484256,555073600,1.270751,4,2944,448,4096,0
484256,555073600,1.270751,8,2944,448,4096,0
484256,555073600,1.270751,16,2944,448,4096,0
484256,555073600,1.270751,32,2944,448,4096,0
484256,555073600,1.270751,64,2944,448,4096,0
484256,555073600,1.270751,128,2944,448,4096,0
259688,202037796,3.948208,1,2944,448,4096,7
259688,202037796,3.948208,2,2944,448,4096,0
259688,202037796,3.948208,4,2944,448,4096,0
259688,202037796,3.948208,8,2944,448,4096,0
259688,202037796,3.948208,16,2944,448,4096,0
259688,202037796,3.948208,32,2944,448,4096,0
259688,202037796,3.948208,64,2944,448,4096,0
259688,202037796,3.948208,128,2944,448,4096,0
217098,2051365264,5.749635,1,2944,448,4096,1
217098,2051365264,5.749635,2,2944,448,4096,3
217098,2051365264,5.749635,4,2944,448,4096,2
217098,2051365264,5.749635,8,2944,448,4096,2
217098,2051365264,5.749635,16,2944,448,4096,2
217098,2051365264,5.749635,32,2944,448,4096,0
217098,2051365264,5.749635,64,2944,448,4096,0
217098,2051365264,5.749635,128,2944,448,4096,0
1230482,63638134756,3.093467,1,2944,448,4096,1
1230482,63638134756,3.093467,2,2944,448,4096,3
1230482,63638134756,3.093467,4,2944,448,4096,3
1230482,63638134756,3.093467,8,2944,448,4096,0
1230482,63638134756,3.093467,16,2944,448,4096,0
1230482,63638134756,3.093467,32,2944,448,4096,0
1230482,63638134756,3.093467,64,2944,448,4096,0
1230482,63638134756,3.093467,128,2944,448,4096,0
1234877,68702176321,0.951538,1,2944,448,4096,5
1234877,68702176321,0.951538,2,2944,448,4096,0
1234877,68702176321,0.951538,4,2944,448,4096,0
1234877,68702176321,0.951538,8,2944,448,4096,0
1234877,68702176321,0.951538,16,2944,448,4096,0
1234877,68702176321,0.951538,32,2944,448,4096,0
1234877,68702176321,0.951538,64,2944,448,4096,0
1234877,68702176321,0.951538,128,2944,448,4096,0
3200440,1.61E+11,3.071824,1,2944,448,4096,1
3200440,1.61E+11,3.071824,2,2944,448,4096,0
3200440,1.61E+11,3.071824,4,2944,448,4096,0
3200440,1.61E+11,3.071824,8,2944,448,4096,0
3200440,1.61E+11,3.071824,16,2944,448,4096,0
3200440,1.61E+11,3.071824,32,2944,448,4096,0
3200440,1.61E+11,3.071824,64,2944,448,4096,0
3200440,1.61E+11,3.071824,128,2944,448,4096,0
3356824,1.68E+11,3.073171,1,2944,448,4096,5
3356824,1.68E+11,3.073171,2,2944,448,4096,0
3356824,1.68E+11,3.073171,4,2944,448,4096,0
3356824,1.68E+11,3.073171,8,2944,448,4096,0
3356824,1.68E+11,3.073171,16,2944,448,4096,0
3356824,1.68E+11,3.073171,32,2944,448,4096,0
3356824,1.68E+11,3.073171,64,2944,448,4096,0
3356824,1.68E+11,3.073171,128,2944,448,4096,0
3387388,1.63E+11,2.789677,1,2944,448,4096,1
3387388,1.63E+11,2.789677,2,2944,448,4096,0
3387388,1.63E+11,2.789677,4,2944,448,4096,0
3387388,1.63E+11,2.789677,8,2944,448,4096,0
3387388,1.63E+11,2.789677,16,2944,448,4096,0
3387388,1.63E+11,2.789677,32,2944,448,4096,0
3387388,1.63E+11,2.789677,64,2944,448,4096,0
3387388,1.63E+11,2.789677,128,2944,448,4096,0
5158388,5.41E+11,3.945301,1,2944,448,4096,5
5158388,5.41E+11,3.945301,2,2944,448,4096,0
5158388,5.41E+11,3.945301,4,2944,448,4096,0
5158388,5.41E+11,3.945301,8,2944,448,4096,0
5158388,5.41E+11,3.945301,16,2944,448,4096,0
5158388,5.41E+11,3.945301,32,2944,448,4096,0
5158388,5.41E+11,3.945301,64,2944,448,4096,0
5158388,5.41E+11,3.945301,128,2944,448,4096,0
760154,3600000000,3.414449,1,2944,448,4096,5
760154,3600000000,3.414449,2,2944,448,4096,3
760154,3600000000,3.414449,4,2944,448,4096,0
760154,3600000000,3.414449,8,2944,448,4096,0
760154,3600000000,3.414449,16,2944,448,4096,0
760154,3600000000,3.414449,32,2944,448,4096,0
760154,3600000000,3.414449,64,2944,448,4096,0
760154,3600000000,3.414449,128,2944,448,4096,0
542184,6528640000,0.475931,1,2944,448,4096,5
542184,6528640000,0.475931,2,2944,448,4096,0
542184,6528640000,0.475931,4,2944,448,4096,0
542184,6528640000,0.475931,8,2944,448,4096,0
542184,6528640000,0.475931,16,2944,448,4096,0
542184,6528640000,0.475931,32,2944,448,4096,0
542184,6528640000,0.475931,64,2944,448,4096,0
542184,6528640000,0.475931,128,2944,448,4096,0
2766523,5.11E+11,3.347898,1,2944,448,4096,5
2766523,5.11E+11,3.347898,2,2944,448,4096,0
2766523,5.11E+11,3.347898,4,2944,448,4096,0
2766523,5.11E+11,3.347898,8,2944,448,4096,0
2766523,5.11E+11,3.347898,16,2944,448,4096,0
2766523,5.11E+11,3.347898,32,2944,448,4096,0
2766523,5.11E+11,3.347898,64,2944,448,4096,0
2766523,5.11E+11,3.347898,128,2944,448,4096,0
1853104,196000000,36.494459,1,2944,448,4096,5
1853104,196000000,36.494459,2,2944,448,4096,1
1853104,196000000,36.494459,4,2944,448,4096,1
1853104,196000000,36.494459,8,2944,448,4096,1
1853104,196000000,36.494459,16,2944,448,4096,0
1853104,196000000,36.494459,32,2944,448,4096,0
1853104,196000000,36.494459,64,2944,448,4096,0
1853104,196000000,36.494459,128,2944,448,4096,0
904310,34674536521,2.925281,1,2944,448,4096,5
904310,34674536521,2.925281,2,2944,448,4096,3
904310,34674536521,2.925281,4,2944,448,4096,3
904310,34674536521,2.925281,8,2944,448,4096,0
904310,34674536521,2.925281,16,2944,448,4096,0
904310,34674536521,2.925281,32,2944,448,4096,0
904310,34674536521,2.925281,64,2944,448,4096,0
904310,34674536521,2.925281,128,2944,448,4096,0
11368076,1.44E+13,3.034853,1,2944,448,4096,1
11368076,1.44E+13,3.034853,2,2944,448,4096,3
11368076,1.44E+13,3.034853,4,2944,448,4096,3
11368076,1.44E+13,3.034853,8,2944,448,4096,3
11368076,1.44E+13,3.034853,16,2944,448,4096,3
11368076,1.44E+13,3.034853,32,2944,448,4096,0
11368076,1.44E+13,3.034853,64,2944,448,4096,0
11368076,1.44E+13,3.034853,128,2944,448,4096,0
106762,984641641,30.690484,1,2944,448,4096,5
106762,984641641,30.690484,2,2944,448,4096,3
106762,984641641,30.690484,4,2944,448,4096,3
106762,984641641,30.690484,8,2944,448,4096,2
106762,984641641,30.690484,16,2944,448,4096,2
106762,984641641,30.690484,32,2944,448,4096,2
106762,984641641,30.690484,64,2944,448,4096,2
106762,984641641,30.690484,128,2944,448,4096,2
954163,9868435600,420.914404,1,2944,448,4096,5
954163,9868435600,420.914404,2,2944,448,4096,3
954163,9868435600,420.914404,4,2944,448,4096,3
954163,9868435600,420.914404,8,2944,448,4096,2
954163,9868435600,420.914404,16,2944,448,4096,2
954163,9868435600,420.914404,32,2944,448,4096,2
954163,9868435600,420.914404,64,2944,448,4096,2
954163,9868435600,420.914404,128,2944,448,4096,2
578890,9838656100,6.16355,1,2944,448,4096,5
578890,9838656100,6.16355,2,2944,448,4096,3
578890,9838656100,6.16355,4,2944,448,4096,3
578890,9838656100,6.16355,8,2944,448,4096,2
578890,9838656100,6.16355,16,2944,448,4096,0
578890,9838656100,6.16355,32,2944,448,4096,0
578890,9838656100,6.16355,64,2944,448,4096,0
578890,9838656100,6.16355,128,2944,448,4096,0
2635364,1.04E+11,502.951409,1,2944,448,4096,5
2635364,1.04E+11,502.951409,2,2944,448,4096,3
2635364,1.04E+11,502.951409,4,2944,448,4096,3
2635364,1.04E+11,502.951409,8,2944,448,4096,2
2635364,1.04E+11,502.951409,16,2944,448,4096,2
2635364,1.04E+11,502.951409,32,2944,448,4096,2
2635364,1.04E+11,502.951409,64,2944,448,4096,2
2635364,1.04E+11,502.951409,128,2944,448,4096,2
1827807,1.03E+11,7.949848,1,2944,448,4096,1
1827807,1.03E+11,7.949848,2,2944,448,4096,3
1827807,1.03E+11,7.949848,4,2944,448,4096,3
1827807,1.03E+11,7.949848,8,2944,448,4096,2
1827807,1.03E+11,7.949848,16,2944,448,4096,0
1827807,1.03E+11,7.949848,32,2944,448,4096,0
1827807,1.03E+11,7.949848,64,2944,448,4096,0
1827807,1.03E+11,7.949848,128,2944,448,4096,0
3871773,4.66E+11,659.796753,1,2944,448,4096,1
3871773,4.66E+11,659.796753,2,2944,448,4096,3
3871773,4.66E+11,659.796753,4,2944,448,4096,3
3871773,4.66E+11,659.796753,8,2944,448,4096,2
3871773,4.66E+11,659.796753,16,2944,448,4096,2
3871773,4.66E+11,659.796753,32,2944,448,4096,2
3871773,4.66E+11,659.796753,64,2944,448,4096,2
3871773,4.66E+11,659.796753,128,2944,448,4096,2
2329176,4.66E+11,4.253423,1,2944,448,4096,5
2329176,4.66E+11,4.253423,2,2944,448,4096,0
2329176,4.66E+11,4.253423,4,2944,448,4096,3
2329176,4.66E+11,4.253423,8,2944,448,4096,2
2329176,4.66E+11,4.253423,16,2944,448,4096,2
2329176,4.66E+11,4.253423,32,2944,448,4096,0
2329176,4.66E+11,4.253423,64,2944,448,4096,0
2329176,4.66E+11,4.253423,128,2944,448,4096,0
11095298,2.88E+12,134.873138,1,2944,448,4096,5
11095298,2.88E+12,134.873138,2,2944,448,4096,3
11095298,2.88E+12,134.873138,4,2944,448,4096,3
11095298,2.88E+12,134.873138,8,2944,448,4096,3
11095298,2.88E+12,134.873138,16,2944,448,4096,0
11095298,2.88E+12,134.873138,32,2944,448,4096,0
11095298,2.88E+12,134.873138,64,2944,448,4096,0
11095298,2.88E+12,134.873138,128,2944,448,4096,0
242502,279090436,21.00847,1,2944,448,4096,1
242502,279090436,21.00847,2,2944,448,4096,3
242502,279090436,21.00847,4,2944,448,4096,3
242502,279090436,21.00847,8,2944,448,4096,2
242502,279090436,21.00847,16,2944,448,4096,0
242502,279090436,21.00847,32,2944,448,4096,0
242502,279090436,21.00847,64,2944,448,4096,0
242502,279090436,21.00847,128,2944,448,4096,0
8814880,1.61E+12,0.245039,1,2944,448,4096,1
8814880,1.61E+12,0.245039,2,2944,448,4096,0
8814880,1.61E+12,0.245039,4,2944,448,4096,0
8814880,1.61E+12,0.245039,8,2944,448,4096,0
8814880,1.61E+12,0.245039,16,2944,448,4096,0
8814880,1.61E+12,0.245039,32,2944,448,4096,0
8814880,1.61E+12,0.245039,64,2944,448,4096,0
8814880,1.61E+12,0.245039,128,2944,448,4096,0
8814880,1.61E+12,0.245039,1,2944,448,4096,5
8814880,1.61E+12,0.245039,2,2944,448,4096,0
8814880,1.61E+12,0.245039,4,2944,448,4096,0
8814880,1.61E+12,0.245039,8,2944,448,4096,0
8814880,1.61E+12,0.245039,16,2944,448,4096,0
8814880,1.61E+12,0.245039,32,2944,448,4096,0
8814880,1.61E+12,0.245039,64,2944,448,4096,0
8814880,1.61E+12,0.245039,128,2944,448,4096,0
10319760,2.22E+12,0.261983,1,2944,448,4096,5
10319760,2.22E+12,0.261983,2,2944,448,4096,0
10319760,2.22E+12,0.261983,4,2944,448,4096,0
10319760,2.22E+12,0.261983,8,2944,448,4096,0
10319760,2.22E+12,0.261983,16,2944,448,4096,0
10319760,2.22E+12,0.261983,32,2944,448,4096,0
10319760,2.22E+12,0.261983,64,2944,448,4096,0
10319760,2.22E+12,0.261983,128,2944,448,4096,0
10319760,2.22E+12,0.261983,1,2944,448,4096,5
10319760,2.22E+12,0.261983,2,2944,448,4096,0
10319760,2.22E+12,0.261983,4,2944,448,4096,0
10319760,2.22E+12,0.261983,8,2944,448,4096,0
10319760,2.22E+12,0.261983,16,2944,448,4096,0
10319760,2.22E+12,0.261983,32,2944,448,4096,0
10319760,2.22E+12,0.261983,64,2944,448,4096,0
10319760,2.22E+12,0.261983,128,2944,448,4096,0
128115,1263304849,1.501835,1,2944,448,4096,5
128115,1263304849,1.501835,2,2944,448,4096,0
128115,1263304849,1.501835,4,2944,448,4096,0
128115,1263304849,1.501835,8,2944,448,4096,2
128115,1263304849,1.501835,16,2944,448,4096,0
